а ваз акурбур амач!;теперь все по-иному
а ваз акурбур амач!;тобою увиденного больше нет!
а ваз акур валара къуьр амач!;в тех кустах, где ты зайца заметил, его и в помине нет!
а вахтунда;в то время
а вахтунда чун жегьилар тир;в то время <тогда> мы были молодые
а вахтундилай;с того времени
а вахтундилай шумуд йисар алатнава;с того времени сколько лет прошло
а виле кьал эцягъ!;этому тому не бывать!
а виле кьал эцягъ!;в тот глаз былинкой тыкай
а гъилера <рачара, рекьера, сеферда>;в тот раз
а дуьнья;загробный, потусторонний мир
а дуьнья;тот мир
а дуьньядиз рекье тун;убивать, лишать жизни
а дуьньядиз рекье тун;хоронить
а дуьньядиз рекье тун;в тот мир провожать
а дуьньядиз фин;умирать, скончаться
а дуьньядиз фин;отправиться в тот мир
а зарафатар амач!;хватит! довольно!
а зарафатар амач!;тех шуток больше нет!
а йисалай;с того года
а йисалай заз ам мад ахкурди туш;с того года я его больше не видел
а йисуз;в том году
а йисуз къвалар гзаф хьанай;в том году осадков выпало много
а кьил;конец, финал
а кьил;тот конец
а кьилизни кваз я!;достаточно! больше не надо!
а кьилизни кваз я!;до того конца хватит
аба галчукналди шейх жедач;оттого что облачился в аба, шейхом не становится
абад авун;благоустраивать, приводить к благополучию, процветанию
абад хьун;благоустраиваться, благоденствовать, процветать
абад кIвал;благоустроенный дом
абад уьлкве;процветающая страна
уьлкведин абадлувал ана яшамиш жезвай инсанрин азадлувилелай аслу я;процветание страны зависит от уровня свободы ее жителей
абажурдин;абажурный
абажурдин парча;абажурная ткань
абалди авун;отодвигать, оттеснять
абалди хьун;отодвигаться, отходить
абасдин савда;мелкий торг
абасдин савда;торг на {абас}
абасдин хийир авачиз;задаром, безвозмездно, бе сплатно
абасдин хийир авачиз;не имея выгоды даже на {абас}
абасдихъ намус маса гудайди;продажный человек
абасдихъ намус маса гудайди;тот, кто продаст совесть за двугривенник
абасдин;двугривенный
абатхийир хьайиди;обр. дорогой
абатхийир хьайиди;уважаемый
абатхийир хьуй!;да будет благополучие!
аббе нукьсан квачир;не содержащий ни малейшего изъяна
чакъал квачир тамни жедач, абдал квачир мехъерни;не бывает и леса без шакала, и свадьбы без дурачка
адаз хуьруьнбуру абдал Вакъуф лугьудай;его односельчане называли юродивым Вакуфом
абдалвал авун;юродствовать
абдалвал авун;чудачествовать
лезги чIалан эвелимжи абжуз;первый
лезги чIалан эвелимжи абжуз;арь лезгинского языка
абзацдин;абзацный
аби рангунин халича;ковёр голубого цвета
цавун абивал;голубизна неба
абитуриентдин;абитуриентский
гам куьтягьун патал абияр кIамукьзава;для завершения ковра не хватает голубой пряжи
абонементдин;абонементный
абонементдин чар;абонементный билет
мегафондин абонент;абонент мегафона (оператор сотовой связи)
абонентдин;абонентский
абонентдин гьакъи;абонентская плата
абрекдин;абреческий
абрекдин вяд;абреческий обет
абреквал авун;заниматься абречеством
абреквал авун;становиться абреком
дагъвийрин абреквилин гьерекат;абреческое движение горцев
абужегьил гада;молодцеватый парень
абуначияр;абоненты
абур алай кар;благое, доброе дело
абур атун;становиться благовидным
абур атун;хорошеть
абур гъун;прихорашивать
абур гъун;украшать
абур маса гун;пренебрегать приличиями
абур маса гун;терять достоинство
абур хуьн;соблюдать приличие, вести себя достойно
