в то время;а вахтунда
в то время <тогда> мы были молодые;а вахтунда чун жегьилар тир
с того времени;а вахтундилай
с того времени сколько лет прошло;а вахтундилай шумуд йисар алатнава
этому (тому) не бывать! (<букв.> в тот глаз былинкой тыкай );а виле кьал эцягъ!
в тот раз;а гъилера <рачара
в тот раз;рекьера
в тот раз;сеферда>
загробный, потусторонний мир (<букв.> тот мир);а дуьнья
убивать;а дуьньядиз рекье тун
лишать жизни;а дуьньядиз рекье тун
хоронить (<букв.> в тот мир провожать);а дуьньядиз рекье тун
умирать, скончаться (<букв> отправиться в тот мир);а дуьньядиз фин
с того года;а йисалай
с того года я его больше не видел;а йисалай заз ам мад ахкурди туш
в том году;а йисуз
в том году осадков выпало много;а йисуз къвалар гзаф хьанай
конец;а кьил
финал (<букв> тот конец);а кьил
достаточно! больше не надо! (<букв> до того конца хватит);а кьилизни кваз я!
первая буква лезгинского алфавита;а
тот, та, то (о предмете, который находится вне поля зрения говорящего и о котором знает собеседник);а
аа! даа!;аа!
оттого что облачился в аба;аба галчукналди шейх жедач
шейхом не становится;аба галчукналди шейх жедач
аба;аба
халат (верхняя мужская одежда);аба
благоустраивать;абад авун
приводить к благополучию;абад авун
процветанию;абад авун
благоустраиваться;абад хьун
благоденствовать;абад хьун
процветать;абад хьун
благоустроенный дом;абад квал
процветающая страна;абад уьлкве
благоустроенный;абад
благополучный;абад
благодатный;абад
процветающий;абад
благодатно;абадвилелди
в достатке;абадвилелди
богато;абадвилелди
из-за благоденствия;абадвиляй
благодатно;абаддаказ
благоденственно;абаддаказ
богато;абаддаказ
процветание страны зависит от уровня свободы ее жителей;уьлкведин абадлувал ана яшамиш жезвай инсанрин азадлувилелай аслу я
благоустроенность;абадлувал
благополучие;абадлувал
процветание;абадлувал
абажурный;абажурдин
абажурная ткань;абажурдин парча
абажур;абажур
выражает боль;абай!
страдание;абай!
ой!;абай!
ух!;абай!
отодвигать;абалди авун
оттеснять;абалди авун
отодвигаться;абалди хьун
отходить;абалди хьун
туда (в направлении от говорящего);абалди
продажный человек (<букв> тот, кто продаст совесть за двугривенник);абасдихъ намус маса гудайди
двугривенный;абасдин
двугривенник;абас
двадцатикопеечная монета (персидская, имевшая хождение на кавказе);абас
а - прописное мужское имя - абас;абас
сорт груши;абасбиги
сорт груши;абасбигияр
обр. дорогой;абатхийир хьайиди
уважаемый;абатхийир хьайиди
да будет благополучие!;абатхийир хьуй!
будь счастлив!;абатхийир
да будет благополучие! (ответное приветствие при встрече и расставании);абатхийир
не содержащий ни малейшего изъяна;аббе нукьсан квачир
нисколько;аббе
ничуть;аббе
не бывает и леса без шакала;чакъал квачир тамни жедач
не бывает и леса без шакала;абдал квачир мехъерни
и свадьбы без дурачка;чакъал квачир тамни жедач
и свадьбы без дурачка;абдал квачир мехъерни
его односельчане называли юродивым вакуфом;адаз хуьруьнбуру абдал вакъуф лугьудай
юродивый (в знач. сущ.);абдал
чудак;абдал
дурачок;абдал
юродивый;абдал
чудаковатый;абдал
дивана;абдал
юродствовать;абдалвал авун
чудачествовать;абдалвал авун
юродство;абдалвал
чудаковатость;абдалвал
диванавал;абдалвал
юродиво;абдалвилелди
чудаковато;абдалвилелди
диванавилелди;абдалвилелди
первый букварь лезгинского языка;лезги чалан эвелимжи абжуз
букварь;абжуз
азбука;абжуз
абзацный;абзацдин
абзац;абзац
ковёр голубого цвета;аби рангунин халича
голубой;аби
светло-синий;аби
лазурный;аби
батурма;аби
вилирган;аби
голубизна неба;цавун абивал
голубизна;абивал
верующий человек;абид
а - прописное) мужское имя - абид;абид
абитуриентский;абитуриентдин
абитуриент;абитуриент
положение абитуриента;абитуриентвал
для завершения ковра не хватает голубой пряжи;гам куьтягьун патал абияр камукьзава
голубая пряжа;абияр
абонементный;абонементдин
абонементный билет;абонементдин чар
абонемент;абонемент
абонент мегафона (оператор сотовой связи);мегафондин абонент
абонентский;абонентдин
абонентская плата;абонентдин гьакъи
абонент;абонент
абуначи;абонент
статус абонента;абонентвал
абуначивал;абонентвал
абреческий;абрекдин
абреческий обет;абрекдин вяд
абрек (горец-партизан);абрек
а - прописное мужское имя - абрек;абрек
заниматься абречеством;абреквал авун
становиться абреком;абреквал авун
абреческое движение горцев;дагъвийрин абреквилин гьерекат
абречество (как явление);абреквал
положение абрека;абреквал
поварёшка;абугерден
половник (металлический);абугерден
сорт груши;абугерден
сорт груши;абугерденар
