spelling;spellingWithRandomChars;spellingWithRandomCharsIgnoreSpaces;inflectionsWithRandomChars;definitionsContainingExpressions;definitionsStartingWithParenthesis;definitionsStartingWithRandomChars;examplesContainingExpressions;definitionsStartingWithTags;stringsEndingWithCurlyBraces;examplesStoredAsDefinitions;tagInExpressionDetails
БАРАБАР;false;false;;;;;{СССР-да сифте  яз итимарни папар ихтиярралди барабар авуна} в СССР впервые  уравняли в правах мужчин и женщин;;;;false
ГЕН;false;false;;ген (участок молекулы ДНК - единица наследственности живых организмов);;;;;;;false
ГЬАКI;false;false;;;;...но и;;;;;false
ГЬИЖРИ;false;false;;;;16 июля 622 г. - начало мусульманского летоисчисления;;;;;false
ЭКОНОМИКА;false;false;;;;;{экономикадин цIийи политика} <ист>. <сущ>. новая  экономическая политика (НЭП);;;;false
ХУЬРУЬГ;false;false;;;;;{Хрюг} (село в Ахтынском районе РД);;;;false
КВАН;false;false;;;;-ка;;;;;false
КЬУКЬМА;false;false;;К - прописное гора в Агульском районе РД - Кукма;;;;;;;false
МАШИН;false;false;;;;;{машинринни тракторрин станция} <сущ>. машинно-тракторная  станция (МТС);;;;false
ПОЛИТБЮРО;false;false;;политбюро (политическое бюро, руководящий орган ЦК КПСС);;;;;;;false
РЕПОРТАЖ;false;false;;репортаж (информация, рассказ о текущих событиях в СМИ);;;;;;;false
РЕПОРТЁР;false;false;;репортёр (сотрудник СМИ, передающий сведения о текущих событиях местной жизни);;;;;;;false
ТАДА;false;false;;;;-ка;;;;;false
