spelling;spellingWithRandomChars;spellingWithRandomCharsIgnoreSpaces;inflectionsWithRandomChars;definitionsContainingExpressions;definitionsStartingWithParenthesis;definitionsStartingWithRandomChars;examplesContainingExpressions;definitionsStartingWithTags;stringsEndingWithCurlyBraces
АБРЕВИАТУРА;false;false;;абревиатура (гафарин кьиле авай гьарфарикай ва я са шумуд гафунин кьатIарикай куьруь авуна туькIуьрнавай гаф, мес: МТС-машинринни тракторрин станция;;;;;
АГЕНТСТВО;false;false;;бязи учрежденийрин тIвар, мес: {телеграфное агентство СССР} СССР-дин телеграфдин агентство);;;;;
АКАДЕМИЯ;false;false;;;;;{Академия Наук СССР} СССР-дин Илимрин Академия.;;
АЛЛЕГОРИЯ;false;false;;;;;;<лит.> аллегория (са фикир тайин шикилда ттуна айгьамдалди, къаб алаз лугьун);
АЛЛИТЕРАЦИЯ;false;false;;;;;;<лит.> аллитерация (шиирда садхьтин ачух тушир сесер тикрарун);
АЛХИМИЯ;false;false;;;;;;<мн.нет.ист.> алхимия (юкьван виш йисара гьакIан металлар багьа металлриз, къизилдиз, гимишдиз элкъуьрдай рехъ жугъуриз алахъай тапан чIуру илим);
АЛЬБУМИН;false;false;;;;;;<биол.хим.> альбумин (ччан алай затIарин ва ччиляй экъечIдай затIарин организмдик квай еке метлеб авай затI-ладз);
АЛЬМАНАХ;false;false;;;;;;<лит.> альманах (жуьреба-жуьре писателрин произведенияр ттуна туькIуьрнаван кIватIал);
АММИАК;false;false;;;;;;<мн.нет.хим.> аммиак (азотдикайни водороддикай ибарат пис туьнт ни галай рангсуз газ);
АМПЛУА;false;false;;;;;;<ср.нескл.> амплуа (артистди къугъвазвай ролрин тегьер, жуьре);
АМУНИЦИЯ;false;false;;;;;;<мн.нет.воен.> амуниция (аскердин яракьдилайни парталрилай гъейри амай адаз герек тир затIар);
АНАФЕМА;false;false;;;;;;<уст.разг.> лянет;
АНЕМИЯ;false;false;;;;;;<мн.нет.мед.> анемия, (иви тIимил квайвилин зайифвал);
АНЕСТЕЗИЯ;false;false;;;;;;<мн.нет.мед.> анестезия, гьисс тийирвал, тIар хьуникай хабар тежервал;
АНТИТЕЗА;false;false;;;;;;<лит.> сад садаз къаншарвал, аксивал;
АНТИФАШИСТСКИЙ;false;false;;;;;;<полит.  > антифашистский, фашизмдиз акси тир, фашистриз акси тир;
АНТОЛОГИЯ;false;false;;;;;;<лит.> антология (хкягъай эсеррин ва шииррин кIватIал);
АНТРАЦИТ;false;false;;;;;;<мн.нет.мин.> антрацит (къванци цIивиндин са жуьре);
АПОГЕЙ;false;false;;;;;;<астр.> апогей (вацран орбитадин ччиливай виридалайни гзаф яргъа авай нукьтIа, точка);
АПОПЛЕКСИЯ;false;false;;;;;;<мн.нет.мед.> апоплексия (кьилин мефтIедиз иви авахьун ва идакди фалужди ягъай гьал хьун);
АППАРАТУРА;false;false;;;;;;<мн.нет.тех.> аппаратура, аппаратар (аппаратрин, алатрин жем-вири);
АРЛЕКИН;false;false;;;;;;<театр> арлекин (комедияда хъуьруьнардай роль къугъвадай артист);
АРТИКУЛИРОВАТЬ;false;false;;;;;;<несов.лингв.> артикуляция авун;
АРТИСТ;false;false;;;;;;<театр> артист;
АСБЕСТ;false;false;;;;;;<мин.см.> {азбест};
АТМОСФЕРА;false;false;;;;;;<физ.тех.> газдин тегьерда авай жисимри-телойри илисун, чуькьуьн алцумдай тек, мес. {давление в пять атмосфер} вад атмосферадин илисун, чуькьуьн;
АЦЕТИЛЕН;false;false;;;;;;<мн.нет.хим.> ацетилен (цIай кьадай рангсуз газ);
УБАЮКИВАТЬ;false;false;;;;;;<несов.см.> {убаюкать};
УВЕШИВАТЬ;false;false;;;;;;<несов.см.> {увешать};
УВЯЗЫВАТЬ;false;false;;;;;;<несов.см.> {увязать};
УГЛЕВОДОРОД;false;false;;;;;;<мн.нет.хим.> углеводород (углероддикайни водороддикай химический рекьелди садхьанвайди);
УГЛЕКИСЛОТА;false;false;;;;;;<мн.нет.хим.> углекислотадин (углекислый) газ;
УГОРЬ;false;false;;;;;;<м.зоол.> илан балугъ (гъуьлягъдин хьтин жендек авай еке са балугъ);
УГОЩАТЬ;false;false;;;;;;<несов.см.> {угостить};
УДОБРЯТЬ;false;false;;;;;;<несов.см.> {удобрить};
УДОСТАИВАТЬ;false;false;;;;;;<несов.см.> {удостоить};
УЗЫ;false;false;;;;;;<уст.> зунжурар, ракьар;
УКАЗ;false;false;;;;;{Указ Верховного Совета СССР} СССР-дин Верховный Советдин указ;;
УМОПОМРАЧЕНИЕ;false;false;;;;;;<мн.нет.уст.> см. {умопомешательство};
УНИЧИЖЕНИЕ;false;false;;;;;;<мн.нет.уст.> см. {унижение};
УПЕРЕТЬСЯ;false;false;;;(гафунал) кIевиз акъвазун, рекьив текъвез акъвазун, гьа са гаф кьуна акъвазун;;;;
УПОР;false;false;;;(кIвачер) акIурна акъваздай чка (затI;;;;
УПРАВДЕЛАМИ;false;false;;;({управляющий делами)} управделами (адарадин къенепатан крариз, къайдадиз, канцеляриядин крариз килигдай къуллугъэгьли);;;;
УПРАВДОМ;false;false;;;({управляющий домом} ва я {домами}) управдом (шегьерда коммунальный кIвалериз килигдай къуллугъэгьли);;;;
УСЕЯННЫЙ;false;false;;;(са затIаривди) ацIанвай|(са затIари) кьунвай;;;;
УСТА;false;false;;;;;;<ед.нет.уст.> кIуф;
УСТАВИТЬСЯ;false;false;;;(вилер) алкIурна килигиз акъвазун;;;;
УСТОЙ;false;false;;;;;;<пер.мн.> дибар, бинеяр;
УТИЛЬ;false;false;;;;;;<м.мн.нет> утиль (маса затI расун патал менфят къачуз жедай гадарнавай эски-уьскуь);
УТРЯСТИСЬ;false;false;;;;;;<пер.разг.> туькIуьн, дуьз хьун (са кар);
УЧИНИТЬ;false;false;;;(са кар) авун;;;;
УЧИТЬ;false;false;;;(кIелун, чирун:, эзберун (мес. жуван тарс);;;;
УШАТ;false;false;;;(сивик) ттумар квай челег;;;;
ХАРЧИ;false;false;;;;;;<мн.обл.> тIуьн-хъун;
ХВАТАТЬ;false;false;;;;;;<несов.> кьун, садлагьана кьун;
ХВАТИТЬ;false;false;;;;;{ХВАТИТЬ}бес хьун; акъакьун;;
ХЛЁСТКИЙ;false;false;;;;;;<пер.разг.> туьнт, тIардай (гафар);
ХЛОПЧАТОБУМАЖНЫЙ;false;false;;;;;;;памбаг ишлемишдай{
ХМЕЛЬ;false;false;;;;;;<м.мн.нет> <бот.> хмель (яргъи шуькIуь тан авай, алчуд жедай са набатат;
ХОДАТАЙ;false;false;;;(садан) патахъай хкечIдай кас, (садан) патахъай алахъдайди;;;;
ХОЗРАСЧЁТ;false;false;;;({хозяйственный расчёт}) <мн.нет> хозрасчёт (са карханади гъукуматдин бюджетдай пулунин куьмек къачун тийиз вичин доходралди, къазанжийралди вичин кIвалах кьиле тухунин къайда);;;;
ХОРУГВЬ;false;false;;;;;;<ист.> кьушундин пайдах;
ХРОМ;false;false;;;(тумаждин хъуьтуьл са жуьре);;;;
ХУДОЖЕСТВО;false;false;;;;;;<пер.разг.> пис кьуьруьк, пис уюн, нагьакьан кар;
ЧАШКА;false;false;;;(терездин) хел;;;;
ЧЕЛОВЕК;false;false;;;;;;<уст.ист.> къуллугъчи;
ЧЕЛЯДЬ;false;false;;;;;;<ж.собир.> къуллугъчияр, кIвалин къуллугъчияр (куьгьне заманда помещикдин крепостной лежберрикай-лукIарикай тир);
ЧЕТВЕРОСТИШИЕ;false;false;;;;;;<лит.> кьуд цIар авай бенд, кьуд цIарцIин бенд (шиирда);
ЧИСЛИТЕЛЬ;false;false;;;;;;<м.мат.> числитель (дробда къачузвай пай, мес. 3/5 дробда 3  числитель я);
ЧИТАЛЬНЫЙ ЗАЛ;true;false;;;;;;;
ЧТО-НИБУДЬ;false;false;;;;;;<местоим.> са затI;
ЩАВЕЛЬ;false;false;;;;;;<м.мн.нет> цурун пешер (недай, хуьрекдик кутадай, чуьлда акъечIдай);
ЩЕБЕНЬ;false;false;;;;;;<м.мн.нет> чирх, кукIварай куьлуь къванер, хирхем къванер (рекье, ччиле твадай);
ЩЕГОЛЯТЬ;false;false;;;;;;<пер.разг.> дамах авун, фурс авун;
ЩЁЛОЧЬ;false;false;;;;;;<ж.хим.> щёлочь (кудай химический затI я);
ЩУРИТЬСЯ;false;false;;;(вилер) агаж хьун;;;;
БАБА;false;false;;;;;;<тех.> куьрснавай зурба кIаш (руькуьнар, зурба хкар ва ихьтин маса кIарасар ччилиз ягъун патал ишлемишдай);
БАГРЕЦ;false;false;;;;;;<спец.> туьнт яр, яру ранг;
БАГРИТЬ;false;false;;;;;;<несов.спец.> къармахдалди, багордалди кьун;
БАЗЕДОВА БОЛЕЗНЬ;true;false;;;;;;;
БАЛЛИСТИКА;false;false;;;;;;<мн.нет.воен.> баллистика (тупунай акъатай гуьлле цавай финин гьакъиндай илим);
БАСНЯ;false;false;;;;;;<лит.> басня (эхирда несигьат гудай цIарар авай, аллегориядин, айгьамдин тегьерда туькIуьрнавай куьруь кьиса, нагъил);
БЕЗВОДЬЕ;false;false;;;;;;<мн.нет > яд авачирвал;
БЕЗДАРНОСТЬ;false;false;;;;;;<мн.нет> зигьинсузвал, бажарагъсузвал, талантсузвал;
БЕЗДНА;false;false;;;;;;<пер.разг.> сан-гьисаб авачир кьван;
БЕЗОБРАЗНЫЙ;false;false;;;;;;<лит.> образсуз, образар авачир (мес. шиирар);
БЕЛЛЕТРИСТ;false;false;;;;;;<лит.> беллетрист (беллетристикадин шейэр-романар, гьикаяяр кхьидайди);
БЕРКОВЕЦ;false;false;;берковец (СССР-да метрийрин система твадалди ишлемишай, 10 путунив барабар уьлчме);;;;;
БЕСПРЕРЫВНЫЙ;false;false;;;(ара) датIур, акъваз тийир;;;;
БЛАГОВОЛИТЬ;false;false;;;(садан) хатур кIан хьун, хатурлу хьун, ччин къалурун.;;;;
БЛАГОДЕТЕЛЬ;false;false;;;(садаз) хъсанвал авурди, хъсанвал ийизвайди, хийир гузвайди;;;;
БЛОКИРОВАТЬ;false;false;;;;;;<воен.> элкъуьрна кьун, блокадада тIун;
БЛОКИРОВАТЬСЯ;false;false;;;;;;<полит.>  блок багъламишун, союз багъламишун, блокдик акахьун;
БОГОТВОРИТЬ;false;false;;;;;;<несов.пер.> кьадарсуз кIан хьун;
БОЛЬШЕ;false;false;;;(мадни) гзаф|(мадни) чIехи;;;;
БОЛЬШИЙ;false;false;;;(мадни) чIехи, (мадни) еке|(мадни) артух.;;;;
БОМБАРДИР;false;false;;;;;;<воен.уст.> бомбардир (виликди тупчи солдат);
БОМБОДЕРЖАТЕЛЬ;false;false;;;;;;<м.ав.> бомба куьрсдайди (самолётра бомба куьрсна кьадай алат);
БРЕХНЯ;false;false;;;;;;<разг.> тапарар;
БРОНЕНОСЕЦ;false;false;;;;;;<воен.мор.> броненосец (яргъаз ядай тупаривди яракьламишнавай, бронядивди кIевнавай дяведин пароход);
БРОНХИ;false;false;;;;;;<мн.анат.> бронхар (жигерар нефес къачудай чкадихъ галкIурзавай турбаяр);
БУДДИЗМ;false;false;;;;;;<рел.> буддизм (Буддадин дин);
БУКЕТ;false;false;;;(цуькверин) кIунчI;;;;
БУКЛИ;false;false;;;;;;<мн.уст.> бурма тилер (кьилин бурма авунвай чIарар);
БУРЖУА;false;false;;;;;;<м.нескл.> буржуа (буржуазиядин классдикай тир кас);
БЫЛИНА;false;false;;;;;;<лит.> былина (куьгьне девирдин пагьливанрикай, игитрикай туькIуьрнавай урус халкьдин эпический мани - кьиса);
БЫТОПИСАТЕЛЬ;false;false;;;;;;<м.лит.> яшайишдикай (яшайишдин темайрикай, историядикай) кхьидай писатель;
ГАД;false;false;;;;;;<пер.разг.> мурдар, мурдар кас;
